level_0,index,id,name,categories,referralId,hasPerk,location.address,location.crossStreet,location.lat,location.lng,location.labeledLatLngs,location.postalCode,location.cc,location.city,location.state,location.country,location.formattedAddress,venuePage.id,location.neighborhood
192,16,4ee230bf9adf48bc19ca94c4,Co-op Food,Grocery Store,v-1611346324,False,235 Castle Lane,Broadway Ln,50.75478488672804,-1.8575979676097631,"[{'label': 'display', 'lat': 50.75478488672804, 'lng': -1.8575979676097631}]",BH9 3LD,GB,Bournemouth,Dorset,United Kingdom,"['235 Castle Lane (Broadway Ln)', 'Bournemouth', 'Dorset', 'BH9 3LD']",,
193,17,57fb98a2498e66b44d1a026c,Flamin Grate Food Company,Food Service,v-1611346324,False,40 Canford Rd,,50.74810085099419,-1.910705775463157,"[{'label': 'display', 'lat': 50.74810085099419, 'lng': -1.910705775463157}]",BH11 8SA,GB,Bournemouth,Dorset,United Kingdom,"['40 Canford Rd', 'Bournemouth', 'Dorset', 'BH11 8SA']",,
194,18,504f657d7e27022f969b67af,Co-op Food,Grocery Store,v-1611346324,False,"62-64 Columbia Road, Ensbury Park",,50.7518981809518,-1.8895283767678301,"[{'label': 'display', 'lat': 50.7518981809518, 'lng': -1.8895283767678301}]",BH10 4DX,GB,Hampshire,Hampshire,United Kingdom,"['62-64 Columbia Road, Ensbury Park', 'Hampshire', 'BH10 4DX']",,
195,19,4e15f40b8877cd571212ac2f,Co-op Food,Grocery Store,v-1611346324,False,36 Good Rd.,,50.7399858848617,-1.9373273849487305,"[{'label': 'display', 'lat': 50.7399858848617, 'lng': -1.9373273849487305}]",BH12 3HP,GB,Dorset,Dorset,United Kingdom,"['36 Good Rd.', 'Dorset', 'BH12 3HP']",,
196,20,4cdec8a794c3b60c9d8867ea,Co-op Food,Grocery Store,v-1611346324,False,"Castle Lane West,",,50.75691989,-1.864468,"[{'label': 'display', 'lat': 50.75691989, 'lng': -1.864468}]",BH9 3JZ,GB,Hampshire,Hampshire,United Kingdom,"['Castle Lane West,', 'Hampshire', 'BH9 3JZ']",,
197,21,4c17a45e59cc2d7f73ef5287,Co-op Food,Grocery Store,v-1611346324,False,"74 Oakdale Road, Oakdale",Dale Valley Road,50.73789090673883,-1.9702788137874705,"[{'label': 'display', 'lat': 50.73789090673883, 'lng': -1.9702788137874705}]",BH15 3LG,GB,Poole,Dorset,United Kingdom,"['74 Oakdale Road, Oakdale (Dale Valley Road)', 'Poole', 'Dorset', 'BH15 3LG']",,
198,22,504f657d7e27022f969b68e4,Co-op Food,Grocery Store,v-1611346324,False,"170 Seabourne Road,",,50.72861646425114,-1.82363205732784,"[{'label': 'display', 'lat': 50.72861646425114, 'lng': -1.82363205732784}]",BH5 2JB,GB,Bournemouth,Dorset,United Kingdom,"['170 Seabourne Road,', 'Bournemouth', 'Dorset', 'BH5 2JB']",,
199,23,4e9ef916f790109d91069a61,Co-op Food,Grocery Store,v-1611346324,False,"922/924 Ringwood Road, High Howe",,50.75874870009648,-1.926126480102539,"[{'label': 'display', 'lat': 50.75874870009648, 'lng': -1.926126480102539}]",BH11 8NL,GB,Dorset,Dorset,United Kingdom,"['922/924 Ringwood Road, High Howe', 'Dorset', 'BH11 8NL']",,
200,24,4c9e066046978cfa95189d7f,Co-op Food,Grocery Store,v-1611346324,False,"346 Ashley Road, Parkstone",,50.72873826787881,-1.9370023253771274,"[{'label': 'display', 'lat': 50.72873826787881, 'lng': -1.9370023253771274}]",BH14 9DF,GB,Poole,Dorset,United Kingdom,"['346 Ashley Road, Parkstone', 'Poole', 'Dorset', 'BH14 9DF']",,
201,25,504f657d7e27022f969b68e5,Co-op Food,Grocery Store,v-1611346324,False,"98-100 Cranleigh Road, Southbourne",,50.7321176159146,-1.805273180628059,"[{'label': 'display', 'lat': 50.7321176159146, 'lng': -1.805273180628059}]",BH6 5JL,GB,Bournemouth,Dorset,United Kingdom,"['98-100 Cranleigh Road, Southbourne', 'Bournemouth', 'Dorset', 'BH6 5JL']",,
202,26,504f657d7e27022f969b6920,Co-op Food,Grocery Store,v-1611346324,False,"135-139 Tuckton Road, Tuckton",,50.72869144310614,-1.7937133055275485,"[{'label': 'display', 'lat': 50.72869144310614, 'lng': -1.7937133055275485}]",BH6 3JZ,GB,Bournemouth,Dorset,United Kingdom,"['135-139 Tuckton Road, Tuckton', 'Bournemouth', 'Dorset', 'BH6 3JZ']",,
203,27,58de90d1e7f1cf4b9ba58d5b,"The Co-operative Food Bournemouth, East Howe Lane",Convenience Store,v-1611346324,False,270 Kinson Rd,,50.758926815270236,-1.900265584781664,"[{'label': 'display', 'lat': 50.758926815270236, 'lng': -1.900265584781664}]",BH10 5JL,GB,Bournemouth,Dorset,United Kingdom,"['270 Kinson Rd', 'Bournemouth', 'Dorset', 'BH10 5JL']",,
204,28,504f657e7e27022f969b6a0e,Co-op Food,Grocery Store,v-1611346324,False,"291 Sandbanks Road,",,50.709709,-1.946135,"[{'label': 'display', 'lat': 50.709709, 'lng': -1.946135}]",BH14 8EZ,GB,Dorset,Dorset,United Kingdom,"['291 Sandbanks Road,', 'Dorset', 'BH14 8EZ']",,
205,29,4cfcd108d8468cfada67fc6b,Co-op Food,Grocery Store,v-1611346324,False,1436-1468 Wimborne Rd,,50.7687082730969,-1.9005969513031098,"[{'label': 'display', 'lat': 50.7687082730969, 'lng': -1.9005969513031098}]",BH1 0 7,GB,Bournemouth,Dorset,United Kingdom,"['1436-1468 Wimborne Rd', 'Bournemouth', 'Dorset', 'BH1 0 7']",,
217,11,4b82e155f964a520aaea30e3,Asda,Supermarket,v-1611346325,False,St Pauls Road,,50.7265214,-1.8649713,"[{'label': 'display', 'lat': 50.7265214, 'lng': -1.8649713}]",BH8 8DL,GB,Bournemouth,Dorset,United Kingdom,"['St Pauls Road', 'Bournemouth', 'Dorset', 'BH8 8DL']",,
236,0,4d90a6511d06b1f7f0ea783b,The Body Shop,Cosmetics Shop,v-1611346325,False,Commericial Rd,,50.72046858147684,-1.8820287721974098,"[{'label': 'display', 'lat': 50.72046858147684, 'lng': -1.8820287721974098}]",,GB,Bournemouth,Dorset,United Kingdom,"['Commericial Rd', 'Bournemouth', 'Dorset']",,
237,1,5c73f719e65d0c002cbc168d,Beach Shop,Gift Shop,v-1611346325,False,Bournemouth Pier,,50.716353,-1.875908,"[{'label': 'display', 'lat': 50.716353, 'lng': -1.875908}]",BH2,GB,Bournemouth,Dorset,United Kingdom,"['Bournemouth Pier', 'Bournemouth', 'Dorset', 'BH2']",,
238,2,4f47df33e4b07d0ddd090e57,Asian Shop,Gourmet Shop,v-1611346325,False,,,50.72392543920076,-1.8679582632895908,"[{'label': 'display', 'lat': 50.72392543920076, 'lng': -1.8679582632895908}]",,GB,,,United Kingdom,,,
239,3,4c6bcf261fb2a1431ae5f9e6,Spiki's Barber Shop,Salon / Barbershop,v-1611346325,False,,,50.719809,-1.884406,"[{'label': 'display', 'lat': 50.719809, 'lng': -1.884406}]",,GB,,,United Kingdom,,,
240,4,4f5492a8e4b092981023141f,"Private Shop, Bournemouth",Miscellaneous Shop,v-1611346325,False,The Triangle,,50.72016521282455,-1.8850563522522368,"[{'label': 'display', 'lat': 50.72016521282455, 'lng': -1.8850563522522368}]",,GB,Bournemouth,Dorset,United Kingdom,"['The Triangle', 'Bournemouth', 'Dorset']",,
241,5,5406e114498e6db24af75749,The Net Shop,IT Services,v-1611346325,False,"Platinum House, 23 Hinton Road",,50.718885709970664,-1.873592734336853,"[{'label': 'display', 'lat': 50.718885709970664, 'lng': -1.873592734336853}]",BH1 2EF,GB,Bournemouth,Dorset,United Kingdom,"['Platinum House, 23 Hinton Road', 'Bournemouth', 'Dorset', 'BH1 2EF']",,
242,6,5cc9d23265211f002cfdeea1,O2 Shop Bournemouth,Mobile Phone Shop,v-1611346325,False,5 Commercial Rd,,50.7192581,-1.8870092,"[{'label': 'display', 'lat': 50.7192581, 'lng': -1.8870092}]",BH2 5RH,GB,Bournemouth,Dorset,United Kingdom,"['5 Commercial Rd', 'Bournemouth', 'Dorset', 'BH2 5RH']",,
243,7,5f48053d9ebe6c5820cc66d0,Pot Shop,Noodle House,v-1611346325,False,204 Commercial Rd,W Hill Rd,50.71894,-1.8870423,"[{'label': 'display', 'lat': 50.71894, 'lng': -1.8870423}]",BH2 5NF,GB,,,United Kingdom,"['204 Commercial Rd (W Hill Rd)', 'BH2 5NF']",,
244,8,521ccfa811d29828a960bb10,Rock Shop,Candy Store,v-1611346325,False,Bournemouth Pier,,50.715915,-1.876238,"[{'label': 'display', 'lat': 50.715915, 'lng': -1.876238}]",,GB,Bournemouth,Dorset,United Kingdom,"['Bournemouth Pier', 'Bournemouth', 'Dorset']",,
245,9,4df09af6b3ad0e1c01553907,The Cove Shop,Gift Shop,v-1611346325,False,Oceanarium,Pier Approach,50.71567265152381,-1.8764948844909668,"[{'label': 'display', 'lat': 50.71567265152381, 'lng': -1.8764948844909668}]",BH2 5AA,GB,Bournemouth,Dorset,United Kingdom,"['Oceanarium (Pier Approach)', 'Bournemouth', 'Dorset', 'BH2 5AA']",,
246,10,4ec3dadd77c83d76b19c9d11,Forever And Ever Tattoo Shop,Tattoo Parlor,v-1611346325,False,,,50.71995067478268,-1.888051734765873,"[{'label': 'display', 'lat': 50.71995067478268, 'lng': -1.888051734765873}]",,GB,Bournemouth,Dorset,United Kingdom,"['Bournemouth', 'Dorset']",,
247,11,569ce463498e3c118eea8be6,Coffee Shop Bournemouth,Coffee Shop,v-1611346325,False,222a Old Christchurch Road,,50.72229722065065,-1.8695694208145142,"[{'label': 'display', 'lat': 50.72229722065065, 'lng': -1.8695694208145142}]",BH1 1PE,GB,Bournemouth,Dorset,United Kingdom,"['222a Old Christchurch Road', 'Bournemouth', 'Dorset', 'BH1 1PE']",,
248,12,4e91b2365c5c4562f075fd62,The Fone Shop,Shop & Service,v-1611346325,False,,,50.71867455838297,-1.8903688642137761,"[{'label': 'display', 'lat': 50.71867455838297, 'lng': -1.8903688642137761}]",,GB,Bournemouth,Dorset,United Kingdom,"['Bournemouth', 'Dorset']",,
249,13,4ee257fcb634bfdd0d257341,Fishtales Chip Shop,Fish & Chips Shop,v-1611346325,False,775 Christchurch Rd,,50.728862973781744,-1.8307879870306012,"[{'label': 'display', 'lat': 50.728862973781744, 'lng': -1.8307879870306012}]",BH1,GB,Bournemouth,Dorset,United Kingdom,"['775 Christchurch Rd', 'Bournemouth', 'Dorset', ' BH1']",,
250,14,5d03595facb00b0039b22a2e,Coffee Shop,Coffee Shop,v-1611346325,False,Bournemouth Railway Station,,50.726414,-1.8637215,"[{'label': 'display', 'lat': 50.726414, 'lng': -1.8637215}]",BH8 8DL,GB,,,United Kingdom,"['Bournemouth Railway Station', 'BH8 8DL']",,
251,15,5188cab5498e65952da5df7d,Golf Shop,Sporting Goods Shop,v-1611346325,False,135 Commercial Rd,,50.72737417623206,-1.8644326336181964,"[{'label': 'display', 'lat': 50.72737417623206, 'lng': -1.8644326336181964}]",BH14 0JD,GB,Dorset,Dorset,United Kingdom,"['135 Commercial Rd', 'Dorset', 'BH14 0JD']",,
252,16,4c22e74611de20a14cb185ce,O2,Mobile Phone Shop,v-1611346325,False,5 Commercial Rd,,50.720563100372026,-1.8817688159280386,"[{'label': 'display', 'lat': 50.720563100372026, 'lng': -1.8817688159280386}]",BH2 5RH,GB,Bournemouth,Dorset,United Kingdom,"['5 Commercial Rd', 'Bournemouth', 'Dorset', 'BH2 5RH']",,
253,17,5602049f498e4f74baadfac2,Jia Jia oriental shop,Grocery Store,v-1611346325,False,,,50.72703,-1.861052,"[{'label': 'display', 'lat': 50.72703, 'lng': -1.861052}]",,GB,,,United Kingdom,,,
254,18,4d68ef3a4c46370414e89ab3,Westbourne Book Shop,College Bookstore,v-1611346325,False,1-15 Seamoor Rd,,50.72259144719582,-1.9014287500549605,"[{'label': 'display', 'lat': 50.72259144719582, 'lng': -1.9014287500549605}]",BH 4 9,GB,Bournemouth,Dorset,United Kingdom,"['1-15 Seamoor Rd', 'Bournemouth', 'Dorset', 'BH 4 9']",,
255,19,4c63e13469a1c9b61a213ca4,Mike's Square Sandwich Shop,Sandwich Place,v-1611346325,False,,,50.734973,-1.86849,"[{'label': 'display', 'lat': 50.734973, 'lng': -1.86849}]",,GB,,,United Kingdom,,,
256,20,52a8996911d235ab05444c3f,Three,Mobile Phone Shop,v-1611346325,False,37 Commercial Road,,50.720415741244466,-1.8830877542495728,"[{'label': 'display', 'lat': 50.720415741244466, 'lng': -1.8830877542495728}]",BH2 5RH,GB,Bournemouth,Dorset,United Kingdom,"['37 Commercial Road', 'Bournemouth', 'Dorset', 'BH2 5RH']",,
257,21,5156f09ae4b079b31d67aac3,Fireplace Shop,Furniture / Home Store,v-1611346325,False,111 Barrack Rd,,50.7399966,-1.7920723,"[{'label': 'display', 'lat': 50.7399966, 'lng': -1.7920723}]",BH23 2AW,GB,Christchurch,Dorset,United Kingdom,"['111 Barrack Rd', 'Christchurch', 'Dorset', 'BH23 2AW']",,
258,22,4c9092e4352da1cd418612b2,The Bag Shop,Accessories Store,v-1611346325,False,18 Kingland Crescent,,50.71775725703077,-1.9779674471093807,"[{'label': 'display', 'lat': 50.71775725703077, 'lng': -1.9779674471093807}]",BH15 1TB,GB,Poole,Dorset,United Kingdom,"['18 Kingland Crescent', 'Poole', 'Dorset', 'BH15 1TB']",,
259,23,52fb8760498e36eceeedbd8b,the little tanning shop,Tanning Salon,v-1611346325,False,,,50.737023,-1.864771,"[{'label': 'display', 'lat': 50.737023, 'lng': -1.864771}]",,GB,,,United Kingdom,,,
260,24,4c8a8bdfa0739eb0f6e65aee,British Red Cross,Thrift / Vintage Store,v-1611346325,False,21 Southbourne Grove,,50.72180354831657,-1.8733830636687026,"[{'label': 'display', 'lat': 50.72180354831657, 'lng': -1.8733830636687026}]",BH6 3QS,GB,Southbourne,Dorset,United Kingdom,"['21 Southbourne Grove', 'Southbourne', 'Dorset', 'BH6 3QS']",,
261,25,4f06f6d5e4b0540ca07fbb17,hospice shop,Accessories Store,v-1611346325,False,,,50.74047571205956,-1.882631269755828,"[{'label': 'display', 'lat': 50.74047571205956, 'lng': -1.882631269755828}]",,GB,,,United Kingdom,,,
262,26,4cd81ad08f949eb0922075ae,O2 Shop Winton,Mobile Phone Shop,v-1611346325,False,339 Wimborne Rd Winton,,50.740635,-1.879474,"[{'label': 'display', 'lat': 50.740635, 'lng': -1.879474}]",BH9 2AD,GB,Bournemouth,Dorset,United Kingdom,"['339 Wimborne Rd Winton', 'Bournemouth', 'Dorset', 'BH9 2AD']",,
263,27,57e463e3498ecbd83f9e7782,Wistmans Coffee Shop and TeaRoom,Coffee Shop,v-1611346325,False,310 Wimborne Road,,50.739945146981384,-1.8800139427185056,"[{'label': 'display', 'lat': 50.739945146981384, 'lng': -1.8800139427185056}]",BH9 2HN,GB,Bournemouth,Dorset,United Kingdom,"['310 Wimborne Road', 'Bournemouth', 'Dorset', 'BH9 2HN']",347082118,
264,28,4c79042697028cfaa087d9fe,Branksome Beach Shop,Gift Shop,v-1611346325,False,,,50.706972757155214,-1.908260581899205,"[{'label': 'display', 'lat': 50.706972757155214, 'lng': -1.908260581899205}]",,GB,,,United Kingdom,,,
265,29,4d03d7b90e49721e39746d7f,The Galley Fish n Chip Shop,Restaurant,v-1611346325,False,Holdenhurst Road,,50.73202883122758,-1.8481581711665818,"[{'label': 'display', 'lat': 50.73202883122758, 'lng': -1.8481581711665818}]",,GB,,Dorset,United Kingdom,"['Holdenhurst Road', 'Springbourne', 'Dorset']",,
